"JASID","自治体コード","遺跡名","緯度","経度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
6.47275615064845e-314,13101,"弥勒寺跡",35.69349859,139.7781414,"0","0","0","0","0","0","0","1","0"
6.47275620005501e-314,13101,"千代田区№44遺跡",35.67886955,139.7383986,"0","0","0","0","0","0","0","1","0"
6.47275624946158e-314,13101,"平河町1-4遺跡",35.68238336,139.7386046,"0","0","1","0","0","0","0","1","0"
6.47275629886814e-314,13101,"四番町11遺跡",35.68900116,139.7395133,"0","0","0","0","0","0","0","1","0"
6.47275634827471e-314,13101,"和泉伯太藩・武蔵岡部藩上屋敷跡",35.67647114,139.7407675,"0","0","0","0","0","0","0","1","0"
6.47275639768127e-314,13101,"東神田1-5遺跡",35.69405625,139.779961,"0","0","0","0","0","0","0","1","0"
6.47275644708784e-314,13101,"一番町遺跡",35.68690979,139.739685,"0","1","1","0","0","0","0","1","0"
6.4727564964944e-314,13101,"四谷見附跡",35.68610111,139.7315483,"0","0","0","0","0","0","0","1","0"
6.47275654590096e-314,13101,"千代田区№51遺跡",35.681561,139.767197,"0","0","0","0","0","0","1","0","0"
6.47275659530753e-314,13101,"丸の内三丁目遺跡",35.67714047,139.7638732,"0","0","0","0","0","0","0","1","0"
6.47275664471409e-314,13101,"千代田区№53遺跡",35.67529979,139.7607833,"0","0","0","0","0","0","1","1","0"
6.47275669412066e-314,13101,"千代田区№54遺跡",35.69330341,139.7803043,"0","0","0","0","0","0","0","1","0"
6.47275674352722e-314,13101,"隼町遺跡",35.68310842,139.7426901,"0","1","0","0","0","0","0","1","0"
6.47275679293379e-314,13101,"三番町遺跡",35.69089728,139.7464141,"0","1","1","0","0","0","0","1","0"
6.47275684234035e-314,13101,"尾張藩麹町邸跡",35.68314519,139.7324409,"0","1","0","0","0","0","0","1","0"
6.47275689174692e-314,13101,"溜池遺跡",35.67348697,139.7413855,"0","1","0","0","0","0","0","1","0"
6.47275699056005e-314,13101,"飯田町遺跡",35.70120476,139.7498656,"0","1","0","1","1","1","0","1","0"
6.47275703996661e-314,13101,"明治大学記念館前遺跡",35.69730142,139.7615386,"0","0","0","0","0","0","0","1","0"
6.47275708937318e-314,13101,"一ツ橋二丁目遺跡",35.69253353,139.758174,"0","0","0","0","0","0","0","1","0"
6.47275713877974e-314,13101,"丸の内一丁目遺跡",35.681561,139.767197,"0","0","0","0","0","0","0","1","0"
6.4727571881863e-314,13101,"外神田一丁目遺跡",35.69720694,139.7719273,"0","0","0","0","0","0","0","1","0"
6.47275723759287e-314,13101,"法政大学構内遺跡",35.69527317,139.7404933,"0","1","0","0","0","0","0","1","0"
6.47275728699943e-314,13101,"東京駅八重洲北口遺跡",35.681561,139.767197,"0","0","0","1","0","0","0","1","0"
6.472757336406e-314,13101,"岩本町二丁目遺跡",35.6941399,139.7780041,"0","0","0","0","0","0","0","1","0"
6.47275738581256e-314,13101,"四番町遺跡",35.68905693,139.7362174,"0","0","0","0","0","0","0","1","0"
6.47275743521913e-314,13101,"栖岸院跡",35.68504146,139.7341232,"0","0","0","0","0","0","0","1","0"
6.47275748462569e-314,13101,"元飯田町遺跡",35.69695497,139.75172,"0","0","0","0","0","0","0","1","0"
6.47275753403226e-314,13101,"千代田区№71遺跡",35.68272514,139.7500377,"0","1","1","0","0","1","0","0","0"
6.47275758343882e-314,13101,"外神田四丁目遺跡",35.70048762,139.7725739,"0","0","0","0","0","0","0","1","0"
6.47275763284539e-314,13101,"千代田区№73遺跡",35.69812702,139.7744679,"0","0","0","0","0","0","1","1","0"
6.47275768225195e-314,13101,"日比谷門跡",35.67516035,139.758792,"0","0","0","0","0","0","0","1","0"
